,Vehicle_ID,Frame_ID,Tot_Frames,Epoch_ms,Local_X,Local_Y,Global_X,Global_Y,Veh_Len,Veh_Wid,Veh_Class,Veh_Velocity,Vehicle_Acc,Lane_ID,Org_Zone,Dest_Zone,Intersection,Section,Direction,Movement,Preceding_Veh,Following_Veh,Spacing,Headway
253736,909,6605,1386,1163690800,16.956,1974.231,2230821.25,1377436.157,16.6,7.0,2,8.26,4.08,0,101,214,5,0,2,1,0,0,0.0,0.0
254236,919,5344,1406,1163564700,11.722000000000001,143.66299999999998,2230528.4390000002,1375674.991,15.0,7.0,2,30.46,-10.98,0,101,214,1,0,2,1,0,0,0.0,0.0
254459,919,5567,1406,1163587000,5.829,650.696,2230575.579,1376179.8969999999,15.0,7.0,2,29.14,-3.91,0,101,214,2,0,2,1,0,0,0.0,0.0
254939,919,6047,1406,1163635000,13.050999999999998,1183.817,2230818.943,1376644.8290000001,15.0,7.0,2,25.19,3.42,0,101,214,3,0,2,1,0,0,0.0,0.0
255057,919,6165,1406,1163646800,18.925,1590.53,2230853.164,1377051.54,15.0,7.0,2,32.45,12.27,0,101,214,4,0,2,1,0,0,0.0,0.0
255585,919,6693,1406,1163699600,17.532,1974.382,2230821.807,1377436.342,15.0,7.0,2,24.68,-1.67,0,101,214,5,0,2,1,0,0,0.0,0.0
255647,925,5373,1323,1163567600,12.958,140.863,2230529.339,1375672.2859999998,16.5,7.0,2,37.26,-8.86,0,101,214,1,0,2,1,0,0,0.0,0.0
255870,925,5596,1323,1163589900,4.886,650.3530000000001,2230574.588,1376179.72,16.5,7.0,2,33.48,-4.45,0,101,214,2,0,2,1,0,0,0.0,0.0
256341,925,6067,1323,1163637000,12.9,1183.015,2230818.491,1376644.139,16.5,7.0,2,25.84,3.38,0,101,214,3,0,2,1,0,0,0.0,0.0
256466,925,6192,1323,1163649500,19.655,1589.016,2230853.921,1377050.174,16.5,7.0,2,28.14,12.27,0,101,214,4,0,2,1,0,0,0.0,0.0
256663,925,6389,1323,1163669200,27.949,1968.851,2230832.887,1377432.3569999998,16.5,7.0,2,7.81,-11.18,0,101,214,5,0,2,1,0,0,0.0,0.0
256970,932,5401,1373,1163570400,12.78,143.299,2230529.412,1375674.4719999998,15.6,7.0,2,33.23,-10.26,0,101,214,1,0,2,1,0,0,0.0,0.0
257188,932,5619,1373,1163592200,4.122,649.528,2230573.683,1376179.04,15.6,7.0,2,34.5,4.33,0,101,214,2,0,2,1,0,0,0.0,0.0
